name,activeIngredient,concentration,formulationType,min,max,unit
Agri-mek 1.8 EC,Abamectin,18 g/L,EC,250,500,mL
Orthene 75 SP,Acephate,750 g/Kg,SP,187.5,250,g
Black Hawk 40 SP,Acephate,400 g/Kg,SP,187.5,250,g
Monarch Acephate 50 SP,Acephate,500 g/Kg,SP,187.5,250,g
Radisson Acephate,Acephate,750 g/Kg,SP,187.5,250,g
Orthene 75 SP,Acephate,750 g/Kg,SP,187.5,250,g
Compete 75 SP,Acephate,750 g/Kg,SP,187.5,250,g
Milan 3 EC,Acetamiprid,30 g/L,EC,187.5,250,mL
Mospilan 3 EC,Acetamiprid,30 g/Kg,EC,187.5,250,mL
Agchem Acetamiprid 3 EC,Acetamiprid,30 g/Kg,EC,187.5,250,mL
Bulldock 025 EC,Betacyfluthrin,25 g/L,EC,-,-,-
Chix 2.5 EC,Betacypermethrin,25 g/L,EC,400,600,mL
Beta 2.5 EC,Betacypermethrin,26 g/L,EC,400,600,mL
Talstar 8 SC,Bifenthrin,80 g/L,SC,75,100,mL
Convoy 50 EC,BPMC,500 g/L,EC,375,437.5,mL
Hopcide 50 EC,BPMC,500 g/L,EC,375,437.5,mL
Carvil 50 EC,BPMC,500 g/L,EC,375,437.5,mL
Diacarb 50 EC,BPMC,500 g/L,EC,375,437.5,mL
Majesty 50 EC,BPMC,500 g/L,EC,375,437.5,mL
Ovation 10 WP,Buprofezin,100 g/Kg,WP,1,2,sachet
Professor 10 WP,Buprofezin,100 g/Kg,WP,1,2,sachet
Acclaim 10 WP,Buprofezin,100 g/Kg,WP,1,2,sachet
Applaud 10 WP,Buprofezin,100 g/Kg,WP,1,2,sachet
Applaud 25 SC,Buprofezin,250 g/L,SC,60,80,mL
Hopover 250 SC,Buprofezin,250 g/L,SC,60,80,mL
Hoppex,Buprofezin,100 g/Kg,WP,1,2,sachet
Accurate 25 SC,Buprofezin,250 g/L,WP,60,80,sachet
Bupro 25 SC,Buprofezin,250 g/L,SC,60,80,mL
Cube 25 SC,Buprofezin,250 g/L,SC,60,80,mL
Voltage 85 WP,Carbaryl,850 g/Kg,WP,500,1000,g
Victory 85 WP,Carbaryl,850 g/Kg,WP,500,1000,g
Paladin 85 WP,Carbaryl,850 g/Kg,WP,500,1000,g
Carbazeal 85 WP,Carbaryl,850 g/Kg,WP,500,1000,g
Phantom 85WP,Carbaryl,850 g/Kg,WP,500,1000,g
Samson 85 S,Carbaryl,850 g/Kg,WP,500,1000,g
Sevin 50 WP,Carbaryl,850 g/Kg,WP,500,1000,g
Shoot 85 WP,Carbaryl,850 g/Kg,WP,500,1000,g
Chopper 85 S,Carbaryl,850 g/Kg,WP,500,1000,g
Kwegger 85 WP,Carbaryl,850 g/Kg,WP,500,1000,g
Macro 85 WP,Carbaryl,850 g/Kg,WP,500,1000,g
Savyl 85 WP,Carbaryl,850 g/Kg,WP,500,1000,g
Superseven 85 WP,Carbaryl,850 g/Kg,WP,500,1000,g
Seven Eleven 85 WP,Carbaryl,850 g/Kg,WP,500,1000,g
Ganadrin 85 WP,Carbaryl,850 g/Kg,WP,500,1000,g
Baryl 85 WP,Carbaryl,850 g/Kg,WP,500,1000,g
Si Ben 85 WP,Carbaryl,850 g/Kg,WP,500,1000,g
Fortein 85 WP,Carbaryl,850 g/Kg,WP,500,1000,g
Bendoryl 85 WP,Carbaryl,850 g/Kg,WP,500,1000,g
RAC Carbaryl 85 WP,Carbaryl,850 g/Kg,WP,500,1000,g
Quadro 85 WP,Carbaryl,850 g/Kg,WP,500,1000,g
United Agro Carbaryl,Carbaryl,850 g/Kg,WP,500,1000,g
Zacarb 85 WP,Carbaryl,850 g/Kg,WP,500,1000,g
Big Seven 85 WP,Carbaryl,850 g/Kg,WP,500,1000,g
Resbak 85 WP,Carbaryl,850 g/Kg,WP,500,1000,g
Benefit 20 SC,Carbosulfan,200 g/L,SC,600,400,mL
Marshal 200 SC,Carbosulfan,200 g/L,SC,600,400,mL
Platinium 50 SP,Cartap Hydrochloride,500 g/Kg,SP,187.5,250,g
Ace Cartap 50 SP,Cartap Hydrochloride,500 g/Kg,SP,187.5,250,g
Agrisolutions Leafgard Cartap 50 SP,Cartap Hydrochloride,500 g/Kg,SP,187.5,250,g
Thunder 50 SP,Cartap Hydrochloride,500 g/Kg,SP,187.5,250,g
Hinder 50 SP,Cartap Hydrochloride,400 g/Kg,SP,187.5,250,g
Agri Cartap 50 SP,Cartap Hydrochloride,500 g/Kg,SP,187.5,250,g
Grantop 50 SP,Cartap Hydrochloride,500 g/Kg,SP,187.5,250,g
Espyder 50 SP,Cartap Hydrochloride,500 g/Kg,SP,187.5,250,g
Agway Cartap 50 SP,Cartap Hydrochloride,500 g/Kg,SP,187.5,250,g
Aktap 50 SP,Cartap Hydrochloride,500 g/Kg,SP,187.5,250,g
Ingram 50 SP,Cartap Hydrochloride,500 g/Kg,SP,187.5,250,g
Altap 50 SP,Cartap Hydrochloride,500 g/Kg,SP,187.5,250,g
Sparrow ,Cartap Hydrochloride,500 g/Kg,SP,187.5,250,g
Kordan 50 SP,Cartap Hydrochloride,500 g/Kg,SP,187.5,250,g
Rampage 50 SP,Cartap Hydrochloride,500 g/Kg,SP,187.5,250,g
Padim 50 SP,Cartap Hydrochloride,500 g/Kg,SP,187.5,250,g
Woktap 50 SP,Cartap Hydrochloride,500 g/Kg,SP,187.5,250,g
Boltrin 50 SP,Cartap Hydrochloride,500 g/Kg,SP,187.5,250,g
Voltz 50 SP,Cartap Hydrochloride,500 g/Kg,SP,187.5,250,g
Over-all 50 SP,Cartap Hydrochloride,500 g/Kg,SP,187.5,250,g
Kraptap 50 SP,Cartap Hydrochloride,500 g/Kg,SP,187.5,250,g
Cartap Gold 50 SP,Cartap Hydrochloride,500 g/Kg,SP,187.5,250,g
All Out 50 SP,Cartap Hydrochloride,500 g/Kg,SP,187.5,250,g
Tapdan 50 SP,Cartap Hydrochloride,500 g/Kg,SP,187.5,250,g
Blutap 50 S,Cartap Hydrochloride,500 g/Kg,SP,187.5,250,g
Full Cartap 50 SP,Cartap Hydrochloride,500 g/Kg,SP,187.5,250,g
Stellar 50 SP,Cartap Hydrochloride,500 g/Kg,SP,187.5,250,g
Aldab 50 SP,Cartap Hydrochloride,500 g/Kg,SP,187.5,250,g
GL Cartap,Cartap Hydrochloride,500 g/Kg,SP,187.5,250,g
Mantra 50 SP,Cartap Hydrochloride,500 g/Kg,SP,187.5,250,g
